datetime,location,name,rating,review
2017-01-17 21:14:59,"Charlotte, NC",N. M.,1.0,This is the absolute worst company to ever get a private student loan with. They don't even deserve one star. I have been receiving multiple calls every day and two months later they still have not handled the issue. They say a form has not been received when I confirmed twice with the account manager that the deferment letter was received. They are only after money and have no concern for students or graduates. I'm literally in tears of frustration. Please don't choose Sallie Mae.
2017-01-03 16:46:44,"Stevenson Ranch, CA",Joe,1.0,I had student loan with CitiBank. I moved to new location and reported my new address to Citibank. At the same time my student loan was purchase by Sallie Mae. I did not receive any mails from Sallie Mae. Few months had passed and I called Sallie Mae after finding out that Sallie Mae purchase my loan. I had late payments. I tried to explain my situation but they did not care. I paid my loan fully. Then when I was trying to purchase a house the late payments were on my record. I called Sallie Mae and explained my situation and told them to take out late payments from my record. They refused and I couldn't purchase a house. Don't get loan from Sallie Mae. They DO NOT CARE ABOUT THEIR CUSTOMERS.
2016-12-12 17:16:40,"Canton, OH",Meaghan,1.0,"I've had quite a few less than impressive encounters with Sallie Mae student loans. However, once I started the automatic payment plan everything was fine for a few months... Then I switched banks. I changed my bank information on the site, paid my loan manually for that month, and signed up for automatic payments through the new bank. There have been multiple issues. Including starting the automatic payments and then suddenly not making them. Causing late fees and my credit to go bad. So I paid manually and then they randomly would withdraw automatically certain months. I've had to call my bank and put a hold on them twice. They've attempted to withdraw from my closed bank account even though I've deleted it from the site, and it just reappears. Now I'm attempting to make payments and it won't go through at all. I've called my bank and ensured it's not on their end. It's beyond the point of ridiculous."
2016-11-08 23:55:28,"Knoxville, TN",K. L.,1.0,"I signed (and aunt cosigned) for a $10,000 loan with Sallie Mae in 2013. They informed me that I wouldn't owe them a penny until 6 months after I graduated. However, 1month (this was October, I started school in September) into school they started harassing me telling me that I owed them money. I asked them how when I just started school!? I told the agent that I had been promised by multiple Sallie Mae agents that I wouldn't owe until 6 months after I graduated (before and after I signed). The person I spoke with said they didn't know but I owed them and if I didn't pay they would take action against me and my cosigner. So of course, as a scared 18 year old I payed up. I had just gotten a minimum wage paying, part time job to pay my phone bill, etc, so I fortunately had the $75 they were asking for. However, it didn't stop there. I continued to keep calling (and getting transferred hundreds of times) asking how my account could already be in default as I had literally just gotten the loan, still no answer. I literally spent hours on the phone trying to speak to these people, someone, anyone who could tell me about my account and where my money was going! It is my right to know what is going on with my account, but all the agents were acting like it was a big secret or something, which it indeed turned out to be. My cosigner started calling me asking why it was in default and that it was affecting her credit so she would sue me if I didn't pay. I literally didn't have anything except a part time job, a cell phone, and a car that was given to me from a family member. Finally, months after calling numerous times and speaking with countless people, I got an answer from a sallie mae agent and she informed me that what I was actually paying this whole time (from the 1month (October) after starting school in Sept, 2013) was the interest on the loan, not the actual loan, and that I owed them over $5000 in interest. Shocked, I asked if there was anything I could do because I was a struggling student and barely even surviving as it is, and I was told no the only option I had was to pay it. I even told her that I had been scammed by them and she didn't have any answer so I kept getting transferred, still with no answers. I struggled for months until eventually I had to drop out of school to look for work full time just to pay the loan because they were harassing me daily! Almost immediately (1 month after quitting school) they started calling again saying now I owed nearly $400, instead of the $75 I had been paying, I was floored. Again I asked how is this possible and no one would give me an answer, everyone I spoke to said I have to pay or they would take action against me!! Still to this day, three years later and being in contact with them constantly, no one from Sallie mae has contacted me or tried to resolve this issue with me. The only calls I ever get from them is a recording saying I owe them money! I still tried to pay them despite them lying to me plus my hardships and they wouldn't work with me at all! All they have ever offered is to give me a deferment for $50 (claiming that it goes towards interest), which I have done. I don't know what to do, but I have filed a complaint with the BBB, and now here. Still no call from Sallie Mae or offer to help from any agents thus far. THIS COMPANY IS COMMITTING HUGE FRAUD AND SCAMS ON CLIENTS WHO HAVE TAKEN LOANS WITH THEM! I have seen online they had been sued in 2014 for fraud against clients and they agreed upon a settlement. However, what about the rest of us who have been scammed by Sallie Mae and have gotten no settlement check, let alone any answers!? What are we supposed to do next? So far, I have just been paying them but I feel this is so wrong and I definitely have been scammed and treated unfairly! Seems like this is extremely common amongst the people who have, unfortunately, taken out loans with sallie mae, in one form or another. Thanks in advance."
2016-10-30 21:13:14,"San Jose, CA",M. A.,1.0,"I have a student loan in Sallie Mae, and as soon as 6 months hit after I graduate from school my payment became from $45 to $495. I have not taken the nursing exam yet so I have no money to pay for that very high amount and my parents couldn't help me because they are struggling with financial too. So I called them to do a deferment at least 3 months till I pass my exam and get the job I went to school for, and so the struggle started. First, every time I call them they keep transferring me back to automated machine or transfer me to a person, and hangs up once I addressed the reason why I called. I have called them a hundred times and they kept doing it. 2nd, when I finally get to talk to a person that didn't hung up on me, so I told her that I needed to defer my loan for at least 3 months, and she told me that she wouldn't help me unless I pay the amount due on that month. So I paid them $495 (I had to borrow money from a friend because I don't have that much amount). And again, when I tried to call them for a deferment, they did it again. Every time I call them they keep transferring me to answering machine or they hang up on me. After more than 20 calls, I finally talked to someone and she were to help me. Before we went over to processing the deferment, I asked the lady to do cancel my automatic payment that I had made for September 2016 and October 2016, and she told me that she was able to cancel that. While we were processing my deferment, I have to pay $150 for a deferment fee so they can process it, the lady said that it would take 3-5 business days for the result and they will be sending a mail and an email for the result, BUT THEY DIDN'T. I only found out that my loan were finally on deferment on my account online. It says ""On deferment till Jan. 6, 2017."" So a month passed. When I checked my account summary on my bank I saw that it was negative $400. When I went over to my statement it showed that Sallie Mae had charged me $485 on October 28, 2017 while I am on deferment. I thought the lady on Customer Service had cancel my automatic payment, it turned out she didn't!!! I almost fell out of my chair after I saw may bank account with NEGATIVE $400!!! This is so irresponsible of them!!! That is why I did a deferment for 3 months because I don't have money to pay for it until I pass my exam and get a job. Plus I paid Sallie Mae $150 for the deferment!!! This is so frustrating!!!"
2016-10-29 03:33:41,"Germantown, MD",Avonlea,2.0,"I haven't really had too much of a problem with Sallie Mae since taking loans out with them in 2013. The one thing I can't stand about them is the annoying amount of phone calls when your payments are due. My loan has been in deferment since I started my master's degree, so I have not been making payments. My mom was co-signer and my statements go to my parents address so I don't always get them on time. Apparently I missed two months of payments, and within a week (Oct 25-Oct 28) they have called me 19 times!!I ignored the first two calls because it was from a number I did not recognize, and I figured if it was important whoever was calling would leave a voicemail. Well Sallie Mae does not leave voicemails apparently, and on the fourth call I picked up the phone to a recording telling me to call them back for information about my account. It wasn't even an actual person and there was no information about what was going on with my account. I understand giving someone a reminder call to let them know that payments are due, but 19 calls in the span of four days is harassment, especially since I was making payments on time before my loans went into deferment."
2016-10-25 21:57:07,"Milwaukee, WI",Tony,1.0,"So I took a loan out from Sallie Mae to cover a year for college. Worst mistake of my life. I got my grandfather to co-sign the loan for me and they immediately accepted us. Well I first signed up for auto bill pay and that was mistake number one. They input all of my information wrong. Got my first late letter in the mail but that was after they bombarded my family with phone calls and letters. Manually paid the first month. I call them up again to try and resolve the issue so they can just take it out of my paycheck every month. Wrong again. They did not accept that payment method either. So I finally manually set up all of my information online hoping that this will work. Everything seemed to be on the up and up until one day a rep called my father saying my information was deleted and they needed to ""update"" my information. Fast forward to my senior year of college, I get a text from my father saying Sallie Mae tried calling my aunt to get in touch with me. Well I was immediately confused as to why they wouldn't have called me. I get on the phone with my rep and am immediately transferred back and forth to different departments. Turns out MY PAYMENTS WEREN'T ACCEPTED FOR OVER 120 DAYS!!! They told me there was a problem on their end that they didn't catch! That if I didn't make a minimum payment my loans were going to have to be paid in full!! I immediately said if my loan payments were not being accepted then why wasn't I told? The rep immediately transferred me to a supervisor after being on hold for 45 minutes! I am several days away from accepting my degree early and in the process of finding a job! These people are scam artists and completely unhelpful!!!"
2016-10-20 17:56:14,"Kansas City, MO",Colbi,1.0,"I currently have student loans with Sallie Mae. I graduated in 2015 and have started paying off my large amount of loans (PS: Private schools are expensive) I have. As a recent graduate I have had difficulty finding a full time job that pays me enough to make my payments. Luckily I have wonderful parents who help me out. My complaint is the obsessive amount of phone calls I receive from Sallie Mae regarding my account and payment that is due. Over this past week, Oct. 17-20, I have been called 17 times!! Some as early as 8 a.m. and other as late at 10 p.m.! I understand I have a payment due, but calling me every other hour is not going to make me pay it any faster. I am aware of my payment when I get an email about it a week or two in advance. You DO NOT need to call me everyday, multiple times a day to remind me.It is the most annoying thing and I can honestly say that if you call me once and LEAVE A VOICEMAIL instead of not leaving one and calling me every hour on the hour, I will be more likely to call back or make my payment. I have learned to ignore the calls and go about my day, but at some point it is a little out of control. I know this won't stop the calls but I hope they understand this is outrageous. I will make my payment for goodness sake! Stop badgering me!"
2016-09-23 00:23:15,"Romeoville, IL",Ronald,1.0,"I went to Westwood College online, a few years ago, Paying on a 14,000 dollar loan, thru Sallie Mae, and the Dept. of Education. 7000 for each loan. Am I crazy or no. The thing is I only went for 5 and a half months and dropped out. Can't believe I owe 14,000 for 5 and a half months, and I have been paying for years, maybe 3. Now Sallie Mae is saying I missed a payment, which I haven't. Now the harassing phone goes day and night, and stupid me they asked where I work. Now I'm sure I will get harass now at my work. Can you help, or guide me in the right direction."
2016-09-08 07:58:19,"Elgin, SC",A. W.,1.0,"My experience with Sallie Mae has been horrible. My daughter had a loan with them for school in which I am a cosigner on the loan. I got sick and my daughter had to put school on hold for awhile to help me out. Before I could completely recover, the harassment started and has not let up. They call us constantly and even at my work place in which I explained that I'm not allowed to get personal calls and asked them to stop before they get me terminated. They do not care. If I get terminated I explained they won't get anything. My daughter cannot afford to pay them a lump sum of money and the payment they are trying to bully out of us neither of us can pay due to my still trying to recover from being sick, yet they do not care. They harassed her to tears and commenced to tell her what she should do to get the money. These people act as if they do not understand the plight that everyone is not rich and if they were they wouldn't apply for their loan. Please do not make the mistake of acquiring a loan from them because it will be the worst thing you've ever done. You'll never get any peace. I hate my daughter ever got a loan with them because they do not care about the consumer at all and it's obvious they do care if you go through personal issues and cannot make the full payment they want. They don't even try and work with you. Just tell you what you can do. I plan on going to school myself soon in the future, but I assure you if I need a loan I will sooner pull out my own teeth than deal with this company ever again! Again, this company is a nightmare."
